File: 10101025282646_Feb2026.pdf | Page 1 Image 0 ELA Score: 0.52
File: 10101025282646_Feb2026.pdf | Page 1 Image 1 ELA Score: 0.43
File: 10101025282646_Feb2026.pdf | Page 1 Image 2 ELA Score: 1.24
File: 10101025282646_Feb2026.pdf | Page 2 Image 0 ELA Score: 0.00
File: 10101025282646_Feb2026.pdf | Page 2 Image 1 ELA Score: 1.20
File: 10101025282646_Feb2026.pdf | Page 2 Image 2 ELA Score: 0.74
File: 10101025282646_Feb2026.pdf | Page 2 Image 3 ELA Score: 2.40
File: 10101025282646_Feb2026.pdf | Page 2 Image 4 ELA Score: 0.23
File: 10101025282646_Feb2026.pdf | Page 2 Image 5 ELA Score: 0.57
File: 10101025282646_Feb2026.pdf | Page 3 Image 0 ELA Score: 0.45
File: 10101025282646_Feb2026.pdf | Page 4 Image 0 ELA Score: 6.46
File: 10101025282646_Feb2026.pdf | Page 5 Image 0 ELA Score: 1.20
File: 10101025282646_Feb2026.pdf | Page 5 Image 1 ELA Score: 0.52
File: 10101025282646_Feb2026.pdf | Page 5 Image 2 ELA Score: 0.05
File: 10101025282646_Feb2026.pdf | Page 5 Image 3 ELA Score: 6.46
File: 10101025282646_Feb2026.pdf | Page 6 Image 0 ELA Score: 6.46
File: 10101025282646_Feb2026_tampered.pdf | Page 1 Image 0 ELA Score: 0.52
File: 10101025282646_Feb2026_tampered.pdf | Page 1 Image 1 ELA Score: 0.43
File: 10101025282646_Feb2026_tampered.pdf | Page 1 Image 2 ELA Score: 1.24
File: 10101025282646_Feb2026_tampered.pdf | Page 2 Image 0 ELA Score: 0.00
File: 10101025282646_Feb2026_tampered.pdf | Page 2 Image 1 ELA Score: 1.20
File: 10101025282646_Feb2026_tampered.pdf | Page 2 Image 2 ELA Score: 0.74
File: 10101025282646_Feb2026_tampered.pdf | Page 2 Image 3 ELA Score: 2.40
File: 10101025282646_Feb2026_tampered.pdf | Page 2 Image 4 ELA Score: 0.23
File: 10101025282646_Feb2026_tampered.pdf | Page 2 Image 5 ELA Score: 0.57
File: 10101025282646_Feb2026_tampered.pdf | Page 3 Image 0 ELA Score: 0.45
File: 10101025282646_Feb2026_tampered.pdf | Page 4 Image 0 ELA Score: 6.46
File: 10101025282646_Feb2026_tampered.pdf | Page 5 Image 0 ELA Score: 1.20
File: 10101025282646_Feb2026_tampered.pdf | Page 5 Image 1 ELA Score: 0.52
File: 10101025282646_Feb2026_tampered.pdf | Page 5 Image 2 ELA Score: 0.05
File: 10101025282646_Feb2026_tampered.pdf | Page 5 Image 3 ELA Score: 6.46
File: 10101025282646_Feb2026_tampered.pdf | Page 6 Image 0 ELA Score: 6.46
File: ela_test.pdf | Page 1 Image 0 ELA Score: 1.46
